Categoría,Subcategoria,APLICA EN LAS METAS ACTUALES,Fecha,Manifiesto,Nombre de Residuo,Peso Disposición Final (kg) ,Canal o Mecanismo de recolección,Tipo de Gestión (proceso),certificado ,Gestor ,Centro de acopio,Razón social del generador,Nit,Responsable del envío,Correo ,Dirección,Departamento,Ciudad,Latitud,Longitud,utm_x,utm_y,utm_zona
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-04-04,9620,ups,25.8,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,La Recetta,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,KR 16 95 70,"BOGOTA, D. C.","BOGOTA, D. C.",4.681893,-74.050152,605348.77,517572.68,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-12-11,11895,CPU,583.2,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,La Rueda Avenida Suba,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,TV 55 # 97 - 65,"BOGOTA, D. C.","BOGOTA, D. C.",4.685796,-74.064154,603795.07,518002.08,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-06-20,10446,TONER DE IMPRESORA Y CARTUCHOS USADOS,10.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,KR 69F 63 01,"BOGOTA, D. C.","BOGOTA, D. C.",4.669527,-74.098692,599966.44,516198.51,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-06-09,9959,ups,25.8,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,TV 55 97 35,"BOGOTA, D. C.","BOGOTA, D. C.",4.685604,-74.063854,603828.38,517980.9,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-01-29,11505,APARATOS ELECTRODOMESTICOS/HORNOS DE MICROONDAS,21.7,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 78 69 50,"BOGOTA, D. C.","BOGOTA, D. C.",4.685845,-74.083829,601612.72,518004.62,18N
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,SI,2024-06-29,11382,BASCULA,5.6,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 32 17B 04,"BOGOTA, D. C.","BOGOTA, D. C.",4.618614,-74.090544,600877.46,510571.18,18N
3. Maquinaria y Equipo Eléctrico,3.11 Pilas y acumuladores,SI,2024-10-27,10798,PILAS,13.07,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 17 120 60,"BOGOTA, D. C.","BOGOTA, D. C.",4.686147,-74.15832,593350.25,518027.65,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-11-27,9499,APARATOS ELECTRODOMESTICOS/HORNOS DE MICROONDAS,21.7,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,AK 86 26 48 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.637128,-74.15987,593184.79,512608.43,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-09-01,9551,Tonner De Impresora / Aprovechamiento,8.41,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,AK 30 63C 72,"BOGOTA, D. C.","BOGOTA, D. C.",4.655478,-74.07765,602302.49,514648.39,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-08-31,11522,APARATOS DE GRABACION DE VIDEO,3.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 170 69 47,"BOGOTA, D. C.","BOGOTA, D. C.",4.759294,-74.064612,603733.35,526127.38,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-08-07,9743,VIDEOCAMARAS,66.2,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S.,830143447-3,Ana Maria Suarez,test@portal80.com.co,AC 13 53 16,"BOGOTA, D. C.","BOGOTA, D. C.",4.628989,-74.108902,598839.58,511715.56,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-11-29,11724,"OTROS PRODUCTOS O APARATOS UTILIZADOS PARA REGISTRAR O REPRODUCIR SONIDO O IMAGENES, INCLUIDAS LAS SEÑALES Y TECNOLOGIAS DE DISTRIBUCION DEL SONIDO E IMAGEN DE LA COMUNICACION",453.7,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S. Jumbo Calle 80,900836968-7,LEONARDO BENAVIDES,test@signify.com,AC 80 # 69Q - 50,"BOGOTA, D. C.","BOGOTA, D. C.",4.691188,-74.083922,601601.63,518595.28,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-12-15,9330,TELÉFONOS CONVENCIONALES,16.31,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,La Rueda S.A.S. Paloquemao,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AK 19 # 30 - 71,"BOGOTA, D. C.","BOGOTA, D. C.",4.670173,-74.057711,604512.05,516275.88,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-08-12,10203,Tonner De Impresora / Aprovechamiento,2.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Laura Añez,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 14 134A 65,"BOGOTA, D. C.","BOGOTA, D. C.",4.717473289,-74.041983011,606249.49,521507.42,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-09-12,11409,"RELOJES Y APARATOS DESTINADOS A MEDIR, INDICAR O REGISTRAR EL TIEMPO",27.23,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Leen Sofia casallad Pineda,830143447-3,Ana Maria Suarez,test@portal80.com.co,CL 67 5 27,"BOGOTA, D. C.","BOGOTA, D. C.",4.649956353,-74.057272512,604563.68,514040.95,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-05-24,9119,CPU,583.2,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,LENOVO ASIA PACIFIC LIMITED SUCURSAL COLOMBIA,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 99 # 14 - 49,"BOGOTA, D. C.","BOGOTA, D. C.",4.6836,-74.0479,605598.31,517761.73,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-10-29,10037,"OTROS PRODUCTOS Y APARATOS PARA LA RECOGIDA, ALMACENAMIENTO, PROCESAMIENTO, PRESENTACIÓN O COMUNICACIÓN DE LA INFORMACIÓN DE MANERA ELECTRÓNICA",1.89,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,LIBERTY SEGUROS,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 72 10 07,"BOGOTA, D. C.","BOGOTA, D. C.",4.656487,-74.058054,604476.03,514762.81,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-10-16,10604,"RELOJES Y APARATOS DESTINADOS A MEDIR, INDICAR O REGISTRAR EL TIEMPO",45.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Lito S.A.S,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,CL 12B 36 81,"BOGOTA, D. C.","BOGOTA, D. C.",4.618219,-74.098089,600040.55,510526.45,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-05-10,10561,TERMINALES DE TELEX,16.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,Llantas Y Rines El Boyaco,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,DG 7 # 38 - 37,"BOGOTA, D. C.","BOGOTA, D. C.",4.614898,-74.104262,599356.25,510158.44,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-01-27,9062,Tonner De Impresora / Aprovechamiento,15.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Llanta Y Rines El Boyaco S.A.S.,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,DG 7 38 37,"BOGOTA, D. C.","BOGOTA, D. C.",4.614918,-74.104102,599373.99,510160.68,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-04-24,10066,TONNER Y CARTUCHOS EN DESUSO,4.0,Gestionado por Reconecta,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,LOCATEL CEDRITOS,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,KR 9 139 47,"BOGOTA, D. C.","BOGOTA, D. C.",4.71754,-74.03265,607284.66,521516.22,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-05-21,10966,APARATOS ELECTRODOMESTICOS/HORNOS ELECTRICOS,45.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,LOCATEL CHAPINERO,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 13 51 57,"BOGOTA, D. C.","BOGOTA, D. C.",4.6388,-74.065431,603660.32,512806.39,18N
1. Aparatos electrodomésticos,1.1 Cocinas y hornos,SI,2024-12-14,11584,HORNOS ELECTRICOS,630.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,LOCATEL HACIENDA SANTA BARBARA,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 7 115 60,"BOGOTA, D. C.","BOGOTA, D. C.",4.693507,-74.033024,607246.86,518859.24,18N
3. Maquinaria y Equipo Eléctrico,3.3 Equipos de control y proteción,SI,2024-12-10,10404,SWITCH,20.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,LOCATEL RESTREPO,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,KR 18 17 27 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.585257,-74.100962,599726.44,506882.07,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-12-08,9384,FREIDORAS,1830.14,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,LOCATEL USAQUEN,900836968-7,LEONARDO BENAVIDES,test@signify.com,AK 45 114 78,"BOGOTA, D. C.","BOGOTA, D. C.",4.698791,-74.054753,604835.9,519440.11,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-01-31,11997,TERMINALES DE FAX,5.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Lorena riaño,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 69 Sur 87B 42,"BOGOTA, D. C.","BOGOTA, D. C.",4.621129269,-74.193770681,589426.38,510835.43,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-02-17,9216,TONER DE IMPRESORA SUELTOS,2.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Luz Dary Muñoz Camargo,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,KR 7B BIS 155A 45,"BOGOTA, D. C.","BOGOTA, D. C.",4.731591437,-74.025560494,608068.83,523070.75,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-05-13,10530,OTROS APARATOS DE LIMPIEZA QUE NO SEAN ASPIRADORAS O LIMPIA MOQUETAS,18.58,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Mabel pinillos,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 97 A Sur 8 70,"BOGOTA, D. C.","BOGOTA, D. C.",4.50004516,-74.11517491,598161.26,497459.93,18N
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,SI,2024-06-12,9493,BASCULA,5.6,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,MAKRO AV. BOYACÁ,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,AK 72 81B 13,"BOGOTA, D. C.","BOGOTA, D. C.",4.69651,-74.08663,601300.49,519183.24,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-12-07,10772,MONITORES,205.0,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,MAKRO CUMARÁ,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,AK 45 192 18,"BOGOTA, D. C.","BOGOTA, D. C.",4.771648,-74.042639,606168.45,527496.49,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-01-09,11547,MONITORES,118.35,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MAKRO PUENTE ARANDA,830143447-3,Ana Maria Suarez,test@portal80.com.co,AC 9 65 09,"BOGOTA, D. C.","BOGOTA, D. C.",4.628074,-74.119332,597682.73,511612.97,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-03-17,11587,IMPRESORAS Y SCANNER,43.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MAKRO SUPERMAYORISTA SAS,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,KR 63 57G 00 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.598629,-74.154052,593835.21,508353.16,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-09-14,9574,TERMINALES DE FAX,4.0,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,MAKRO VILLA DEL RIO,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,KR 63 57G 74 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.596966,-74.153664,593878.47,508169.37,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-02-18,10992,Sanduchera / Tostadora,6.8,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,Maria Alexandra Botero,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 42B Sur 7 32 Este,"BOGOTA, D. C.","BOGOTA, D. C.",4.546796344,-74.090392778,600904.31,502631.69,18N
3. Maquinaria y Equipo Eléctrico,3.11 Pilas y acumuladores,SI,2024-01-01,9335,BATERIAS DE LITIO,986.71,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Maria de Jesús Cadena,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 7 Sur 10 86,"BOGOTA, D. C.","BOGOTA, D. C.",4.584976443,-74.089057352,601047.12,506852.72,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-02-19,9028,TELEFONOS INALAMBRICOS,5.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,María Epifanía Santa,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 19 76A 23 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.54082825,-74.15168345,594105.49,501963.65,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-02-20,10440,TABLETAS,0.7,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,María sandoval,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 74A 114A 30,"BOGOTA, D. C.","BOGOTA, D. C.",4.71214016,-74.12358941,597198.89,520905.92,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-09-12,11625,ORDENADORES PERSONALES O PORTATILES,10.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,MARLENY ARIZA DUARTE,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,KR 98B 71 49 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.633652772,-74.203325815,588364.91,512218.68,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-05-11,10352,TONER DE IMPRESORA Y CARTUCHOS USADOS,10.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,MASIVO CAPITAL S.A.S,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AC 26 59 00,"BOGOTA, D. C.","BOGOTA, D. C.",4.645669,-74.098984,599937.42,513560.94,18N
2. Electrónica y Equipos de Telecomunicación,2.8 Equipos de telecomunicaciones,SI,2024-12-18,10682,ROUTER,4.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,MASTERPRO CALLE 80,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,KR 69T 80 25,"BOGOTA, D. C.","BOGOTA, D. C.",4.691837,-74.084627,601523.34,518666.92,18N
1. Aparatos electrodomésticos,1.9 Herramientas para el hogar,SI,2024-12-23,9517,TALADRADORAS,2.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,Mayeli Enriquez Muñoz,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 53 D sur 5 A 36,"BOGOTA, D. C.","BOGOTA, D. C.",4.54366417,-74.11828002,597810.9,502281.59,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-09-22,9244,MODEM,140.2,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,MCCAIN COLOMBIA,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,CL 49 S 72C 30,"BOGOTA, D. C.","BOGOTA, D. C.",4.599322,-74.150448,594234.91,508430.25,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-10-17,11556,APARATOS DE GRABACION DE VIDEO,3.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,MEALS DE COLOMBIA S.A.S,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 98 70 90,"BOGOTA, D. C.","BOGOTA, D. C.",4.693977,-74.078214,602234.35,518904.44,18N
3. Maquinaria y Equipo Eléctrico,3.11 Pilas y acumuladores,SI,2024-03-01,10103,PILAS,13.72,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MEDICARTE BOGOTÁ,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 83 16A 44,"BOGOTA, D. C.","BOGOTA, D. C.",4.66938,-74.057493,604536.35,516188.24,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-07-03,10381,"MOLINOS, CAFETERAS Y APARATOS PARA ABRIR O PRECINTAR ENVASES O PAQUETES",468.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,MEDIPOL BANDERAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 5C 78H 03,"BOGOTA, D. C.","BOGOTA, D. C.",4.63014,-74.147607,594545.99,511837.53,18N
2. Electrónica y Equipos de Telecomunicación,2.6 Equipos de electrónica de potencia,SI,2024-03-16,10959,BALASTOS,349.0,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MEDIPOL ENGATIVA,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,CL 70 77C 05,"BOGOTA, D. C.","BOGOTA, D. C.",4.689184,-74.102536,599537.28,518371.06,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-06-30,9786,"OTROS PRODUCTOS O APARATOS UTILIZADOS PARA REGISTRAR O REPRODUCIR SONIDO O IMAGENES, INCLUIDAS LAS SEÑALES Y TECNOLOGIAS DE DISTRIBUCION DEL SONIDO E IMAGEN DE LA COMUNICACION",158.69,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MEDIPOL ESPOL,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AV BOYACA # 142 A - 55,"BOGOTA, D. C.","BOGOTA, D. C.",4.733261,-74.067332,603435.56,523248.96,18N
1. Aparatos electrodomésticos,1.4 Enseres menores de calentamiento,SI,2024-03-09,9883,APARATOS ELECTRODOMESTICOS,17.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,MEDIPOL KENNEDY,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,TV 78J 41 70 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.618546,-74.157244,593478.51,510554.55,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-02-04,9134,VIDEOCAMARAS,4.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,MEDIPOL SAN ANTONIO,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 14B 0 61 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.591993,-74.091289,600798.57,507628.1,18N
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-10-15,9016,BOMBILLOS COMPACTOS - SIGNIFY,0.5,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Mega Llantas del Norte,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 20 # 194 - 78,"BOGOTA, D. C.","BOGOTA, D. C.",4.617831,-74.079597,602091.93,510486.18,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-09-10,10876,OTROS GRANDES APARATOS UTILIZADOS PARA COCINAR Y EN OTROS PROCESOS DE TRANSFORMACION DE LOS ALIMENTOS. APARATOS DE CALEFACCION ELECTRICOS,565.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,MERCK GROUP S.A,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 10 65 28,"BOGOTA, D. C.","BOGOTA, D. C.",4.631045,-74.117997,597830.41,511941.6,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-03-12,9745,ups,25.8,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MERCK S.A.,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,KR 9 101 67,"BOGOTA, D. C.","BOGOTA, D. C.",4.686188,-74.046468,605756.76,518048.06,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-08-31,11636,"MOLINOS, CAFETERAS Y APARATOS PARA ABRIR O PRECINTAR ENVASES O PAQUETES",468.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,MERCK SHARP- COMPLEJO,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 127A 53A 45,"BOGOTA, D. C.","BOGOTA, D. C.",4.709816,-74.062002,604030.21,520657.86,18N
1. Aparatos electrodomésticos,1.5 Enseres menores de cocina,SI,2024-07-31,10404,TOSTADORA,2.9,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Merquellantas S.A.S.,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,Avenida Centenario # 116 - 40,"BOGOTA, D. C.","BOGOTA, D. C.",4.6834,-74.15648,593554.7,517724.21,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-10-21,9961,MONITORES,36.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,METAZA S.A.,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,AC 17 86 75,"BOGOTA, D. C.","BOGOTA, D. C.",4.660058,-74.136982,595720.55,515146.39,18N
3. Maquinaria y Equipo Eléctrico,3.12 Refrigeración y equipos de acondicionamiento de aire industriales,SI,2024-02-05,9620,MÁQUINAS DISPENSADORAS DE BEBIDAS CALIENTES,14.2,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,METRO 20 DE JULIO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,KR 10 30B 20 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.570223,-74.099402,599901.58,505220.27,18N
3. Maquinaria y Equipo Eléctrico,3.11 Pilas y acumuladores,SI,2024-01-05,10513,PILAS,1.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,METRO AUTOPISTA SUR,860007386,ANA LUCIA GOMEZ,enlacesambientales@gmail.com,Autopista Sur 77A 18,"BOGOTA, D. C.","BOGOTA, D. C.",4.59729,-74.16666,592436.76,508203.49,18N
